start,code,year,flfp,time,timec
48.8,GIN,2020,43.1,NA,NA
48.8,GIN,2021,43.3,NA,NA
48.8,GIN,2016,47.5,NA,NA
48.8,GIN,2025,44.1,NA,NA
48.8,GIN,2022,43.9,NA,NA
48.8,GIN,2023,44.1,NA,NA
48.8,GIN,2024,44.3,NA,NA
48.9,SUR,2016,49.8,NA,NA
48.9,SUR,2015,48.9,NA,NA
48.9,SUR,2017,50.1,NA,NA
48.9,SUR,2018,50.8,NA,NA
48.9,SUR,2019,51.2,NA,NA
48.9,SUR,2020,47.9,NA,NA
48.9,SUR,2021,48.8,NA,NA
48.9,SUR,2022,49.4,NA,NA
48.9,SUR,2023,50,NA,NA
48.9,SUR,2024,50.8,NA,NA
48.9,SUR,2025,51,NA,NA
49.2,ARE,2024,53.8,439.645803886515,448.645803886515
49.2,ARE,2023,53.6,439.645803886515,447.645803886515
49.2,ARE,2020,59.5,439.645803886515,444.645803886515
49.2,ARE,2025,54.3,439.645803886515,449.645803886515
49.2,ARE,2016,50.3,439.645803886515,440.645803886515
49.2,ARE,2015,49.2,439.645803886515,439.645803886515
